id,text,language,source
1045,"In the evening, the farmer planted maize before the rainy season began.",English,AI-generated synthetic data
1046,Mo ra àgbàdo ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1047,"Da safe, zan kira ka idan na isa.",Hausa,AI-generated synthetic data
1048,"Today, we should leave early to avoid traffic.",English,AI-generated synthetic data
1049,Aládùúgbò wa ń kọ́ ẹ̀kọ́ ní ilé ìtajà ní kutukutu.,Yoruba,AI-generated synthetic data
1050,Ụmụaka ahụ na-arụ ọrụ n'ogige n'ehihie.,Igbo,AI-generated synthetic data
1051,"Da rana, ma'aikaciyar jinya ta duba zafin jikin mara lafiya.",Hausa,AI-generated synthetic data
1052,The doctor is planning the computer.,English,AI-generated synthetic data
1053,My brother is planning the training materials.,English,AI-generated synthetic data
1054,Al'ummar yana duba manhajar waya.,Hausa,AI-generated synthetic data
1055,Onye nkụzi ahụ na-arụ ọrụ n'ọdụ ụgbọala taa.,Igbo,AI-generated synthetic data
1056,Mama ń ṣiṣẹ́ ní ọgbà ẹ̀kọ́ ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1057,Nwanne nwoke m zụtara akpụkpọ ụkwụ n'oge.,Igbo,AI-generated synthetic data
1058,"Da safe, dan kasuwa ya rubuta kowace ciniki a cikin littafi.",Hausa,AI-generated synthetic data
1059,Mama ń ṣiṣẹ́ ní ilé ẹ̀kọ́ àná.,Yoruba,AI-generated synthetic data
1060,The passengers waited patiently at the terminal.,English,AI-generated synthetic data
1061,Ó lọ sí ilé ìtajà ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1062,Ị hụrụ ọka n'abalị.,Igbo,AI-generated synthetic data
1063,Àwọn ọmọ ra omi ní alẹ́.,Yoruba,AI-generated synthetic data
1064,Mun gwada API kafin mu hada shi da manhajar.,Hausa,AI-generated synthetic data
1065,Nwa akwụkwọ ahụ jiri akwụkwọ n'oge.,Igbo,AI-generated synthetic data
1066,Nwanne nwanyị m chọrọ ji n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1067,"Da yamma, manajan ya bukaci kowa ya halarci taron bayani.",Hausa,AI-generated synthetic data
1068,Ọkùnrin náà ní ẹja ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1069,"A gida, me ya sa intanet din yake tafiya a hankali?",Hausa,AI-generated synthetic data
1070,"In the afternoon, the electricity went off during the evening.",English,AI-generated synthetic data
1071,"After lunch, i will call you when I arrive.",English,AI-generated synthetic data
1072,Akẹ́kọ̀ọ́ náà ṣe ẹran lónìí.,Yoruba,AI-generated synthetic data
1073,Manajan yana tsara shirin kasuwanci.,Hausa,AI-generated synthetic data
1074,Aládùúgbò wa ń ṣiṣẹ́ ní òpópónà ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1075,Mo rí àpò ọ̀la.,Yoruba,AI-generated synthetic data
1076,Ọkùnrin náà lọ sí ọgbà ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1077,Àwọn ará wa dé sí ibùdó ọkọ̀ ní kutukutu.,Yoruba,AI-generated synthetic data
1078,Nne na-eje ije n'okporo ụzọ n'ụtụtụ.,Igbo,AI-generated synthetic data
1079,"At work, i would like to learn more about the course.",English,AI-generated synthetic data
1080,Dọkịta ahụ zụtara azụ n'izu a.,Igbo,AI-generated synthetic data
1081,The manager is reviewing a research proposal.,English,AI-generated synthetic data
1082,A researcher is building the business plan.,English,AI-generated synthetic data
1083,"Yayin taro, don Allah ka tuna ka cajin wayarka.",Hausa,AI-generated synthetic data
1084,Àwọn ọmọ lo ẹja ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1085,Arábìnrin mi ṣe ẹran ní kutukutu.,Yoruba,AI-generated synthetic data
1086,The doctor is learning the inventory list.,English,AI-generated synthetic data
1087,The manager is building the business plan.,English,AI-generated synthetic data
1088,"Yesterday, please check the details before submitting the form.",English,AI-generated synthetic data
1089,Nwanne nwanyị m na-arụ ọrụ n'ọfịs n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1090,Baba mú ẹ̀fọ́ ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1091,"In the afternoon, the children are playing outside the house.",English,AI-generated synthetic data
1092,"Da yamma, mun isa lafiya bayan doguwar tafiya.",Hausa,AI-generated synthetic data
1093,Ó dé sí ibùdó ọkọ̀ ní ọ̀sán.,Yoruba,AI-generated synthetic data
1094,Likitan yana duba hanyar sadarwa.,Hausa,AI-generated synthetic data
1095,Mai binciken yana gyara manhajar waya.,Hausa,AI-generated synthetic data
1096,Baba mú ẹ̀wà ní òru.,Yoruba,AI-generated synthetic data
1097,"After lunch, which road leads to the market?",English,AI-generated synthetic data
1098,Nwa akwụkwọ ahụ na-aga n'ụlọ ọgwụ ụnyaahụ.,Igbo,AI-generated synthetic data
1099,Ọ̀rẹ́ mi ń ṣiṣẹ́ ní ibùdó ọkọ̀ ní ọ̀sán.,Yoruba,AI-generated synthetic data
1100,"After lunch, the researcher collected responses from several participants.",English,AI-generated synthetic data
1101,Aládùúgbò wa ń kọ́ ẹ̀kọ́ ní mọ́sáláṣí ní alẹ́.,Yoruba,AI-generated synthetic data
1102,Manajan yana karatu manhajar waya.,Hausa,AI-generated synthetic data
1103,"At work, the programmer fixed the error in the Python script.",English,AI-generated synthetic data
1104,Al'ummar yana duba kayan horo.,Hausa,AI-generated synthetic data
1105,Nwanne nwoke m nọ n'ọgbọ egwuregwu echi.,Igbo,AI-generated synthetic data
1106,"Bayan cin abinci, algorithm din ya yi aiki sosai bayan an tsaftace bayanan.",Hausa,AI-generated synthetic data
1107,Likitan yana shirya bayanan mara lafiya.,Hausa,AI-generated synthetic data
1108,Onye nkụzi ahụ wetara igwefoto n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1109,The nurse is studying the inventory list.,English,AI-generated synthetic data
1110,Ọ̀rẹ́ mi rí ìrẹsì ọ̀la.,Yoruba,AI-generated synthetic data
1111,M chọrọ ji ụnyaahụ.,Igbo,AI-generated synthetic data
1112,The student is studying the machine learning model.,English,AI-generated synthetic data
1113,"In the afternoon, the business owner opened the shop early.",English,AI-generated synthetic data
1114,A researcher is checking a mobile application.,English,AI-generated synthetic data
1115,"Da safe, don Allah ka tuna ka cajin wayarka.",Hausa,AI-generated synthetic data
1116,Mama fẹ́ fóònù àná.,Yoruba,AI-generated synthetic data
1117,Aládùúgbò wa lọ sí ọ́fíìsì ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1118,Ọmọ náà lo kọ̀ǹpútà ní òru.,Yoruba,AI-generated synthetic data
1119,My friend is repairing the computer.,English,AI-generated synthetic data
1120,The manager is building the computer.,English,AI-generated synthetic data
1121,Our team is building the farm equipment.,English,AI-generated synthetic data
1122,The doctor is organizing the meeting notes.,English,AI-generated synthetic data
1123,Manajan yana koyon shirin kasuwanci.,Hausa,AI-generated synthetic data
1124,Ụmụaka ahụ na-eje ije n'okporo ụzọ n'ehihie.,Igbo,AI-generated synthetic data
1125,Abokina yana tsara shirin kasuwanci.,Hausa,AI-generated synthetic data
1126,Akẹ́kọ̀ọ́ náà dé sí àgbègbè wa lónìí.,Yoruba,AI-generated synthetic data
1127,Onye nkụzi ahụ jiri ji n'oge.,Igbo,AI-generated synthetic data
1128,A teacher is planning the school timetable.,English,AI-generated synthetic data
1129,Nwanne m bịara n'ụlọ taa.,Igbo,AI-generated synthetic data
1130,"In the morning, the server needs regular maintenance and monitoring.",English,AI-generated synthetic data
1131,Injiniyan yana gyara jerin kaya.,Hausa,AI-generated synthetic data
1132,"Da yamma, allon bayanai yana nuna sabbin alkaluman kaya.",Hausa,AI-generated synthetic data
1133,Tawagar mu yana duba takardar bincike.,Hausa,AI-generated synthetic data
1134,Our team is building a mobile application.,English,AI-generated synthetic data
1135,Mo lọ sí mọ́sáláṣí lónìí.,Yoruba,AI-generated synthetic data
1136,Mama ń kọ́ ẹ̀kọ́ ní àgbègbè wa ní alẹ́.,Yoruba,AI-generated synthetic data
1137,Nwanne m chọrọ osikapa n'abalị.,Igbo,AI-generated synthetic data
1138,Arákùnrin mi ń rìn ní ọgbà ní kutukutu.,Yoruba,AI-generated synthetic data
1139,Mama wà ní pápá ní alẹ́.,Yoruba,AI-generated synthetic data
1140,"Today, the workers completed the installation before sunset.",English,AI-generated synthetic data
1141,Dókítà náà ní aṣọ ní òru.,Yoruba,AI-generated synthetic data
1142,Ị bịara n'ụlọ akwụkwọ n'ụtụtụ.,Igbo,AI-generated synthetic data
1143,Olùkọ́ náà rí bàtà ọ̀la.,Yoruba,AI-generated synthetic data
1144,Wọ́n ń ṣiṣẹ́ ní ọjà ní òru.,Yoruba,AI-generated synthetic data
1145,Al'ummar yana tattauna hanyar sadarwa.,Hausa,AI-generated synthetic data
1146,Ó ní ọ̀gẹ̀dẹ̀ ọ̀la.,Yoruba,AI-generated synthetic data
1147,Ha nọ n'ụlọ ekpere n'izu a.,Igbo,AI-generated synthetic data
1148,The doctor is building a research proposal.,English,AI-generated synthetic data
1149,Ọ̀rẹ́ mi lo omi ní ọ̀sán.,Yoruba,AI-generated synthetic data
1150,Nwa akwụkwọ ahụ na-arụ ọrụ n'ọgbọ egwuregwu n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1151,Mo ṣe ìrẹsì ọ̀la.,Yoruba,AI-generated synthetic data
1152,Unu na-eje ije n'chọọchị taa.,Igbo,AI-generated synthetic data
1153,"Yesterday, the family prepared food for their guests.",English,AI-generated synthetic data
1154,O rí ọ̀gẹ̀dẹ̀ ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1155,My brother is learning the meeting notes.,English,AI-generated synthetic data
1156,Ọ na-eje ije n'ọbá akwụkwọ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1157,Onye agbata obi anyị na-amụ ihe n'ọdụ ụgbọala ụnyaahụ.,Igbo,AI-generated synthetic data
1158,"Da safe, mai shago ya bude shagon da wuri.",Hausa,AI-generated synthetic data
1159,Mai shirye-shiryen yana karatu takardar bincike.,Hausa,AI-generated synthetic data
1160,"At home, the meeting has been moved to Friday.",English,AI-generated synthetic data
1161,Nwa akwụkwọ ahụ mere ji n'ehihie.,Igbo,AI-generated synthetic data
1162,Our community is building the school timetable.,English,AI-generated synthetic data
1163,Ṣé ọkọ̀ náà ti dé?,Yoruba,AI-generated synthetic data
1164,"Da rana, me ya sa intanet din yake tafiya a hankali?",Hausa,AI-generated synthetic data
1165,Tawagar mu yana shirya shirin kasuwanci.,Hausa,AI-generated synthetic data
1166,Mai shirye-shiryen yana tsara shirin kasuwanci.,Hausa,AI-generated synthetic data
1167,Nwa akwụkwọ ahụ hụrụ uwe n'ehihie.,Igbo,AI-generated synthetic data
1168,Malamin yana koyon jadawalin makaranta.,Hausa,AI-generated synthetic data
1169,Ha nwere oche ụnyaahụ.,Igbo,AI-generated synthetic data
1170,"Yesterday, we should discuss the issue before tomorrow.",English,AI-generated synthetic data
1171,Awa mú bàtà ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1172,Ẹyin ra àga ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1173,Aládùúgbò wa ra ẹ̀fọ́ ní òru.,Yoruba,AI-generated synthetic data
1174,Nwanne m na-amụ ihe n'ahịa na ngwụcha izu.,Igbo,AI-generated synthetic data
1175,"Da safe, me ya sa intanet din yake tafiya a hankali?",Hausa,AI-generated synthetic data
1176,Ọ̀rẹ́ mi ṣe kọ̀ǹpútà ní alẹ́.,Yoruba,AI-generated synthetic data
1177,Àwọn ará wa lo ẹja ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1178,The nurse is learning the meeting notes.,English,AI-generated synthetic data
1179,Akẹ́kọ̀ọ́ náà ń rìn ní pápá ní kutukutu.,Yoruba,AI-generated synthetic data
1180,Enyi m na-eje ije n'ụlọ ahịa ụnyaahụ.,Igbo,AI-generated synthetic data
1181,Nwa ahụ nwere mmiri n'abalị.,Igbo,AI-generated synthetic data
1182,Mama mú ẹ̀fọ́ ní alẹ́.,Yoruba,AI-generated synthetic data
1183,Manomin yana karatu manhajar waya.,Hausa,AI-generated synthetic data
1184,Dókítà náà ṣe àkàrà ní ọ̀sán.,Yoruba,AI-generated synthetic data
1185,Arábìnrin mi ń ṣiṣẹ́ ní pápá ní kutukutu.,Yoruba,AI-generated synthetic data
1186,Nne na-amụ ihe n'ahịa ụnyaahụ.,Igbo,AI-generated synthetic data
1187,Malamin yana duba bayanan taro.,Hausa,AI-generated synthetic data
1188,The developer is repairing a mobile application.,English,AI-generated synthetic data
1189,Direban yana karatu jadawalin isar da kaya.,Hausa,AI-generated synthetic data
1190,Unu na-amụ ihe n'ụlọ ọgwụ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1191,Nwanne nwanyị m mere anụ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1192,M wetara osikapa ụnyaahụ.,Igbo,AI-generated synthetic data
1193,Ọ hụrụ ọka n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1194,Olùkọ́ náà lọ sí àgbègbè wa lónìí.,Yoruba,AI-generated synthetic data
1195,My brother is reviewing a mobile application.,English,AI-generated synthetic data
1196,Àwọn ọmọ lọ sí mọ́sáláṣí ní ọ̀sán.,Yoruba,AI-generated synthetic data
1197,The student is reviewing the school timetable.,English,AI-generated synthetic data
1198,Abokina yana bitar kwamfutar.,Hausa,AI-generated synthetic data
1199,"Gobe, an matsar da taron zuwa ranar Juma'a.",Hausa,AI-generated synthetic data
1200,Nwanne nwanyị m wetara ji echi.,Igbo,AI-generated synthetic data
1201,Ọmọ náà ń rìn ní àgbègbè wa ní alẹ́.,Yoruba,AI-generated synthetic data
1202,Awa wà ní ilé ẹ̀kọ́ lónìí.,Yoruba,AI-generated synthetic data
1203,Tawagar mu yana bitar kayan horo.,Hausa,AI-generated synthetic data
1204,Nwanyị ahụ chọrọ akpa echi.,Igbo,AI-generated synthetic data
1205,Nwanne nwoke m zụtara akwụkwọ na ngwụcha izu.,Igbo,AI-generated synthetic data
1206,"Jiya, uwar garken tana bukatar kulawa da sa ido akai-akai.",Hausa,AI-generated synthetic data
1207,Nne zụtara anụ n'izu a.,Igbo,AI-generated synthetic data
1208,Dọkịta ahụ zụtara akwụkwọ nri n'oge.,Igbo,AI-generated synthetic data
1209,Our community is checking a mobile application.,English,AI-generated synthetic data
1210,Injiniyan yana bitar jadawalin makaranta.,Hausa,AI-generated synthetic data
1211,My friend is preparing a research proposal.,English,AI-generated synthetic data
1212,"Da yamma, don Allah ka duba bayanan kafin ka aika da fom.",Hausa,AI-generated synthetic data
1213,The doctor is preparing the farm equipment.,English,AI-generated synthetic data
1214,A teacher is building the delivery schedule.,English,AI-generated synthetic data
1215,Mai binciken yana gyara jadawalin makaranta.,Hausa,AI-generated synthetic data
1216,Direban yana shirya hanyar sadarwa.,Hausa,AI-generated synthetic data
1217,"A wurin aiki, algorithm din ya yi aiki sosai bayan an tsaftace bayanan.",Hausa,AI-generated synthetic data
1218,Ẹyin wà ní ibùdó ọkọ̀ ní òru.,Yoruba,AI-generated synthetic data
1219,"Da yamma, mai bincike ya tattara amsoshi daga mahalarta da dama.",Hausa,AI-generated synthetic data
1220,Mai binciken yana tattauna samfurin koyon na'ura.,Hausa,AI-generated synthetic data
1221,Dókítà náà lọ sí ilé ìwòsàn àná.,Yoruba,AI-generated synthetic data
1222,My friend is checking the business plan.,English,AI-generated synthetic data
1223,Mo ní àgbàdo ní alẹ́.,Yoruba,AI-generated synthetic data
1224,Olùkọ́ náà mú omi ní kutukutu.,Yoruba,AI-generated synthetic data
1225,Arábìnrin mi mú fóònù ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1226,Manomin yana gina takardar bincike.,Hausa,AI-generated synthetic data
1227,"At home, i would like to learn more about the course.",English,AI-generated synthetic data
1228,Arábìnrin mi wà ní òpópónà ní kutukutu.,Yoruba,AI-generated synthetic data
1229,O ń ṣiṣẹ́ ní ọgbà ní alẹ́.,Yoruba,AI-generated synthetic data
1230,The doctor is checking the training materials.,English,AI-generated synthetic data
1231,Ị riela nri?,Igbo,AI-generated synthetic data
1232,The manager is reviewing the school timetable.,English,AI-generated synthetic data
1233,Arábìnrin mi rí ẹran ọ̀la.,Yoruba,AI-generated synthetic data
1234,The student is checking the network connection.,English,AI-generated synthetic data
1235,Mai shirye-shiryen yana koyon kayan horo.,Hausa,AI-generated synthetic data
1236,"At home, the mechanic replaced the damaged part.",English,AI-generated synthetic data
1237,"Da safe, na yi farin cikin jin cewa komai ya tafi lafiya.",Hausa,AI-generated synthetic data
1238,Ẹyin rí àga ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1239,Injiniyan yana tsara manhajar waya.,Hausa,AI-generated synthetic data
1240,Ònye kpọrọ gị?,Igbo,AI-generated synthetic data
1241,"Jiya, ta yaya za mu inganta tsarin?",Hausa,AI-generated synthetic data
1242,The doctor is studying the report.,English,AI-generated synthetic data
1243,Nne mere oche n'izu a.,Igbo,AI-generated synthetic data
1244,A researcher is building a mobile application.,English,AI-generated synthetic data
1245,Likita ya shawarci mara lafiya ya kara shan ruwa.,Hausa,AI-generated synthetic data
1246,A researcher is discussing a mobile application.,English,AI-generated synthetic data
1247,Nwanne nwanyị m na-aga n'okporo ụzọ taa.,Igbo,AI-generated synthetic data
1248,A researcher is organizing a new project.,English,AI-generated synthetic data
1249,The nurse is planning the network connection.,English,AI-generated synthetic data
1250,"At work, the student borrowed a book from the library.",English,AI-generated synthetic data
1251,"In the afternoon, the manager asked everyone to attend the briefing.",English,AI-generated synthetic data
1252,Aghọtara m,Igbo,AI-generated synthetic data
1253,My friend is checking the network connection.,English,AI-generated synthetic data
1254,Mai shirye-shiryen yana bitar bayanan taro.,Hausa,AI-generated synthetic data
1255,Ọ zụtara agwa n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1256,Ị na-aga n'ụlọ taa.,Igbo,AI-generated synthetic data
1257,"Jiya, mun gwada API kafin mu hada shi da manhajar.",Hausa,AI-generated synthetic data
1258,"In the morning, the driver waited for passengers near the bus station.",English,AI-generated synthetic data
1259,Ẹyin ń kọ́ ẹ̀kọ́ ní ilé ọ̀rẹ́ mi ní kutukutu.,Yoruba,AI-generated synthetic data
1260,Anyị na-eje ije n'ogige n'oge.,Igbo,AI-generated synthetic data
1261,"Da rana, mai kirkirar manhaja ya tsara hanya mai sauki ga masu amfani.",Hausa,AI-generated synthetic data
1262,Nwoke ahụ zụtara tebụl n'abalị.,Igbo,AI-generated synthetic data
1263,Nwa akwụkwọ ahụ na-eje ije n'ọdụ ụgbọala n'oge.,Igbo,AI-generated synthetic data
1264,Àwọn ọmọ ń kọ́ ẹ̀kọ́ ní àgbègbè wa ní ìparí ọ̀sẹ̀.,Yoruba,AI-generated synthetic data
1265,Nwanne nwanyị m wetara mmiri n'abalị.,Igbo,AI-generated synthetic data
1266,Báwo ni o ṣe wà?,Yoruba,AI-generated synthetic data
1267,Aládùúgbò wa ń ṣiṣẹ́ ní ilé ìwé àná.,Yoruba,AI-generated synthetic data
1268,Our community is repairing a new project.,English,AI-generated synthetic data
1269,My friend is planning a research proposal.,English,AI-generated synthetic data
1270,Wọ́n ń rìn ní ilé ìtajà ní alẹ́.,Yoruba,AI-generated synthetic data
1271,Ụmụaka ahụ na-arụ ọrụ n'ụlọ akwụkwọ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1272,Our community is preparing the meeting notes.,English,AI-generated synthetic data
1273,Wọ́n ń rìn ní ilé ọ̀rẹ́ mi ní kutukutu.,Yoruba,AI-generated synthetic data
1274,M na-eje ije n'ụlọ enyi m n'abalị.,Igbo,AI-generated synthetic data
1275,"Tomorrow, i forgot my umbrella at home.",English,AI-generated synthetic data
1276,Nwa akwụkwọ ahụ chọrọ akwụkwọ taa.,Igbo,AI-generated synthetic data
1277,Ọ̀rẹ́ mi rí fóònù àná.,Yoruba,AI-generated synthetic data
1278,"Yau, wace hanya ce take zuwa kasuwa?",Hausa,AI-generated synthetic data
1279,Direban yana koyon kwamfutar.,Hausa,AI-generated synthetic data
1280,Awa ra ẹ̀wà ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1281,Mai bincike ya tattara amsoshi daga mahalarta da dama.,Hausa,AI-generated synthetic data
1282,Mi ò yé mi,Yoruba,AI-generated synthetic data
1283,Our community is discussing the inventory list.,English,AI-generated synthetic data
1284,"At work, the application stores user information securely.",English,AI-generated synthetic data
1285,Ha na-arụ ọrụ n'ogige n'oge.,Igbo,AI-generated synthetic data
1286,The farmer is checking a research proposal.,English,AI-generated synthetic data
1287,"Yau, sabon shirin zai fara wata mai zuwa.",Hausa,AI-generated synthetic data
1288,Mo wà ní ilé lónìí.,Yoruba,AI-generated synthetic data
1289,A teacher is organizing the school timetable.,English,AI-generated synthetic data
1290,Ụmụaka ahụ hụrụ tebụl n'ehihie.,Igbo,AI-generated synthetic data
1291,The manager is learning a mobile application.,English,AI-generated synthetic data
1292,Arákùnrin mi fẹ́ ìrẹsì ní alẹ́.,Yoruba,AI-generated synthetic data
1293,"In the evening, the developer created a simple interface for the users.",English,AI-generated synthetic data
1294,Direban yana karatu bayanan mara lafiya.,Hausa,AI-generated synthetic data
1295,Nwanne nwoke m na-aga n'ogige taa.,Igbo,AI-generated synthetic data
1296,"Jiya, na yi farin cikin jin cewa komai ya tafi lafiya.",Hausa,AI-generated synthetic data
1297,The driver is reviewing the report.,English,AI-generated synthetic data
1298,Al'ummar yana duba jadawalin isar da kaya.,Hausa,AI-generated synthetic data
1299,Malamin yana tsara sabon aiki.,Hausa,AI-generated synthetic data
1300,Mo fẹ́ àkàrà àná.,Yoruba,AI-generated synthetic data
1301,Al'ummar yana tsara takardar bincike.,Hausa,AI-generated synthetic data
1302,Wutar lantarki ta dauke da yamma.,Hausa,AI-generated synthetic data
1303,Ọkùnrin náà fẹ́ ẹja ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1304,Enyi m mere agwa n'izu a.,Igbo,AI-generated synthetic data
1305,Unu bịara n'ogige n'oge.,Igbo,AI-generated synthetic data
1306,Mai binciken yana karatu jadawalin makaranta.,Hausa,AI-generated synthetic data
1307,Mai shirye-shiryen yana shirya kwamfutar.,Hausa,AI-generated synthetic data
1308,Olùkọ́ náà fẹ́ ẹ̀fọ́ lónìí.,Yoruba,AI-generated synthetic data
1309,Nwanyị ahụ zụtara akpa ụnyaahụ.,Igbo,AI-generated synthetic data
1310,The developer is discussing the computer.,English,AI-generated synthetic data
1311,Obìnrin náà lọ sí pápá àná.,Yoruba,AI-generated synthetic data
1312,Malamin yana bitar kayan aikin gona.,Hausa,AI-generated synthetic data
1313,Dan uwana yana shirya kayan horo.,Hausa,AI-generated synthetic data
1314,The engineer is planning the farm equipment.,English,AI-generated synthetic data
1315,Anyị chọrọ unere n'ehihie.,Igbo,AI-generated synthetic data
1316,"Yayin taro, ina asibitin da ya fi kusa yake?",Hausa,AI-generated synthetic data
1317,Injiniyan yana duba jadawalin isar da kaya.,Hausa,AI-generated synthetic data
1318,Nwoke ahụ mere igwefoto ụnyaahụ.,Igbo,AI-generated synthetic data
1319,Ó ṣe kọ́kọ́rọ́ ní kutukutu.,Yoruba,AI-generated synthetic data
1320,Nwa akwụkwọ ahụ jiri uwe n'ụtụtụ.,Igbo,AI-generated synthetic data
1321,The engineer is organizing the farm equipment.,English,AI-generated synthetic data
1322,Ọkùnrin náà fẹ́ ẹ̀fọ́ ní òru.,Yoruba,AI-generated synthetic data
1323,O ní ọ̀gẹ̀dẹ̀ lónìí.,Yoruba,AI-generated synthetic data
1324,Baba lọ sí ilé ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1325,Nne nọ n'ahịa ụnyaahụ.,Igbo,AI-generated synthetic data
1326,Mai binciken yana koyon hanyar sadarwa.,Hausa,AI-generated synthetic data
1327,Our team is organizing the patient record.,English,AI-generated synthetic data
1328,Nwanne nwoke m mere mmiri n'oge.,Igbo,AI-generated synthetic data
1329,Nne bịara n'ụlọ akwụkwọ echi.,Igbo,AI-generated synthetic data
1330,Ọmọ náà wà ní ibùdó ọkọ̀ ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1331,Dan uwana yana gina jadawalin makaranta.,Hausa,AI-generated synthetic data
1332,Direban yana shirya jadawalin isar da kaya.,Hausa,AI-generated synthetic data
1333,The nurse is organizing the network connection.,English,AI-generated synthetic data
1334,Mai binciken yana shirya jadawalin makaranta.,Hausa,AI-generated synthetic data
1335,Dalibin yana koyon jerin kaya.,Hausa,AI-generated synthetic data
1336,The student is planning the patient record.,English,AI-generated synthetic data
1337,Mai shirye-shiryen yana gina sabon aiki.,Hausa,AI-generated synthetic data
1338,A researcher is planning a new project.,English,AI-generated synthetic data
1339,Nna nwere ekwentị n'izu a.,Igbo,AI-generated synthetic data
1340,Olùkọ́ náà rí ẹran ní òwúrọ̀.,Yoruba,AI-generated synthetic data
1341,Nne na-eje ije n'chọọchị n'oge.,Igbo,AI-generated synthetic data
1342,"Today, the network administrator checked the router.",English,AI-generated synthetic data
1343,The doctor is studying the patient record.,English,AI-generated synthetic data
1344,Nwanyị ahụ zụtara igodo n'izu a.,Igbo,AI-generated synthetic data
1345,Arákùnrin mi ra ìwé ní alẹ́.,Yoruba,AI-generated synthetic data
1346,The manager is organizing the farm equipment.,English,AI-generated synthetic data
1347,Dalibin yana tattauna takardar bincike.,Hausa,AI-generated synthetic data
1348,Onye nkụzi ahụ na-aga n'okporo ụzọ echi.,Igbo,AI-generated synthetic data
1349,"Da yamma, tawagar ta kammala aikin akan lokaci.",Hausa,AI-generated synthetic data
1350,Ma'aikaciyar jinya yana tattauna bayanan mara lafiya.,Hausa,AI-generated synthetic data
1351,Ẹyin ń kọ́ ẹ̀kọ́ ní mọ́sáláṣí àná.,Yoruba,AI-generated synthetic data
1352,Awa ń rìn ní ibùdó ọkọ̀ ní ọ̀sẹ̀ yìí.,Yoruba,AI-generated synthetic data
1353,Obìnrin náà ṣe aṣọ ní alẹ́.,Yoruba,AI-generated synthetic data
1354,Our community is preparing the business plan.,English,AI-generated synthetic data
1355,Al'ummar yana tattauna bayanan mara lafiya.,Hausa,AI-generated synthetic data
1356,Ụmụaka ahụ na-amụ ihe n'ụlọ enyi m n'abalị.,Igbo,AI-generated synthetic data
1357,The developer is building the farm equipment.,English,AI-generated synthetic data
1358,Malamin yana karatu kayan horo.,Hausa,AI-generated synthetic data
1359,Mai binciken yana koyon bayanan mara lafiya.,Hausa,AI-generated synthetic data
1360,Enyi m jiri anụ n'isi ụtụtụ.,Igbo,AI-generated synthetic data
1361,Likitan yana bitar manhajar waya.,Hausa,AI-generated synthetic data
1362,Likitan yana karatu samfurin koyon na'ura.,Hausa,AI-generated synthetic data
1363,Ha zụtara anụ n'oge.,Igbo,AI-generated synthetic data
1364,Ọ na-aga n'okporo ụzọ n'oge.,Igbo,AI-generated synthetic data
1365,Abokina yana tattauna takardar bincike.,Hausa,AI-generated synthetic data
1366,Unu na-eje ije n'ọfịs n'ụtụtụ.,Igbo,AI-generated synthetic data
1367,The engineer is organizing the machine learning model.,English,AI-generated synthetic data
1368,The engineer is planning the network connection.,English,AI-generated synthetic data
1369,Enyi m bịara n'ụlọ enyi m n'abalị.,Igbo,AI-generated synthetic data
1370,Obìnrin náà lọ sí ilé ní òru.,Yoruba,AI-generated synthetic data
1371,Enyi m na-amụ ihe n'ụlọ n'ehihie.,Igbo,AI-generated synthetic data
1372,Nwoke ahụ nọ n'ogige na ngwụcha izu.,Igbo,AI-generated synthetic data
1373,Nwa akwụkwọ ahụ na-aga n'ụlọ ekpere n'izu a.,Igbo,AI-generated synthetic data
